idx,question,ans1,ans2,ans3,ans4,correct_ans,level
8d2005ec35280deb6a438dc87b225f89,Whats's the speaker name?,Alexandra Auer,Sonia Shah,Alex Gendler,Noeline Kirabo,Alexandra Auer,3
8d2005ec35280deb6a438dc87b225f89,Whats's the topic?,Windows,Walls,Mac,Travels,Walls,2
8d2005ec35280deb6a438dc87b225f89,More barriers exist now than at the end of,Worls War II,World War I,Cold War,Other,World War II,4
b3072cd11f40eb57fd259555264476c6,What's the speaker's name?,Andrea,Elizabeth,Alex,Daniel,Elizabeth,1
b3072cd11f40eb57fd259555264476c6,What's the topic?,Overwhelmed,Walls,Spaghetti,Pizza,Overwhelmed,1
8d2005ec35280deb6a438dc87b225f89,How many views the Ted Talk has?,One,One hundred,One thousand,One milion, One milion,1
8d2005ec35280deb6a438dc87b225f89,Is this a god topic?,Yes a lot!,Not that mach,Could be improved,Other,Could be improved,1
8d2005ec35280deb6a438dc87b225f89,How long was the Ted Talk?,Around ten minuts,Around twenty minuts,More than one hour,Other,Around ten minuts,5
8d2005ec35280deb6a438dc87b225f89,Does the speaker want to improve this Talk?,Yes,No,Not now,It's complicated,It's complicated,1
8d2005ec35280deb6a438dc87b225f89,How many talk the speaker has done?,A lot,This one was the first one,No one knows,Other,No one knows,2
8d2005ec35280deb6a438dc87b225f89,Does the speaker talk about Berlin Wall?,Yes,No,Maybe,Other,Yes,4
8d2005ec35280deb6a438dc87b225f89,How many pizzas the speaker can eat in a day?,Three,Two,One,Four,One,5
